legalName,displayName,taxId,billingTermsId,contactFirstName,contactLastName,contactEmail,contactPhone
Piedmont Freight Carriers LLC,Piedmont Freight,27-4481203,NET-30,Greg,Whitfield,g.whitfield@piedmontfreight.example.com,
Carolina Concrete Supply Co.,Carolina Concrete,46-3215872,NET-30,Teresa,Mullen,t.mullen@carolinaconcrete.example.com,
Queen City Waste Management Inc.,QC Waste,35-2198043,NET-45,Darnell,Okafor,d.okafor@qcwaste.example.com,
Blue Ridge Landscaping Services LLC,Blue Ridge Landscaping,82-1563489,NET-30,Brittany,Norris,b.norris@blueridgelandscaping.example.com,
Tarheel Logistics Group LLC,Tarheel Logistics,61-7832941,NET-45,Marcus,Tillman,m.tillman@tarheellogistics.example.com,
Mecklenburg Plumbing & Mechanical LLC,Meck Plumbing,47-9210583,NET-30,Christine,Walters,c.walters@meckplumbing.example.com,
Piedmont Ready Mix Corp.,Piedmont Ready Mix,56-3841027,NET-60,Donald,Frazier,d.frazier@piedmontreadymix.example.com,
Carolina Power & Electrical Services Inc.,Carolina Power,29-6713854,NET-30,Alicia,Stephens,a.stephens@carolinapower.example.com,
Blue Stone Aggregate & Gravel LLC,Blue Stone Aggregate,74-5291836,NET-45,Keith,Burnham,k.burnham@bluestoneaggregate.example.com,
Cabarrus Industrial Cleaning Corp.,Cabarrus Cleaning,31-4827653,NET-30,Tamara,McPherson,t.mcpherson@cabarruscleaning.example.com,
Southeast Delivery Solutions LLC,SE Delivery,68-9201374,NET-30,Wesley,Parrish,w.parrish@sedelivery.example.com,
Carolinas Crane & Rigging Co.,Carolinas Crane,45-7832016,NET-45,Renee,Holt,r.holt@carolinascrane.example.com,
Lake Norman Propane & Fuels LLC,LKN Propane,52-1938476,COD,Calvin,Dunmore,c.dunmore@lknpropane.example.com,
Rowan County Road Services LLC,Rowan Road Services,73-4826015,NET-45,Latasha,Gooden,l.gooden@rowanroad.example.com,
Carolina Fresh Produce Distribution Inc.,Carolina Fresh,28-5943016,NET-30,Bryan,Cantrell,b.cantrell@carolinafresh.example.com,
Piedmont Steel & Metal Recycling LLC,Piedmont Metals,34-8710253,NET-60,Monica,Byrd,m.byrd@piedmontmetals.example.com,
Union County Grading & Excavation Inc.,Union Grading,67-2194830,NET-45,Cedric,Blackwell,c.blackwell@uniongrading.example.com,
Carolina Septic & Environmental LLC,Carolina Septic,49-8023174,NET-30,Veronica,Pratt,v.pratt@carolinaseptic.example.com,
Mecklenburg Tree Service & Timber Inc.,Meck Tree,83-5012967,NET-30,Jonathon,Culpepper,j.culpepper@mecktree.example.com,
Highland Moving & Storage LLC,Highland Moving,55-1874392,NET-60,Sheryl,Davenport,s.davenport@highlandmoving.example.com,
