ownerType,ownerName,vin,unitNumber,description,make,model,year,trim,licensePlate,licensePlateJurisdiction
INDIVIDUAL,Marie Evans,1C498ZBAT1000050K,00050K,2009 Jeep Grand Cherokee,Jeep,Grand Cherokee,2009,,,
INDIVIDUAL,Angela Freeman,1C4BNLV8JF0000050,000050,2009 Jeep Grand Cherokee,Jeep,Grand Cherokee,2009,,,
INDIVIDUAL,Douglas Stewart,1C4HV97MWC000047U,00047U,2011 Jeep Grand Cherokee,Jeep,Grand Cherokee,2011,,,
INDIVIDUAL,Jose Rivera,1C4JDJ0SM60000420,000420,2018 Jeep Grand Cherokee,Jeep,Grand Cherokee,2018,,,
INDIVIDUAL,Harry Hill,1C4MHG3ANX0000627,000627,2010 Jeep Grand Cherokee,Jeep,Grand Cherokee,2010,,,
INDIVIDUAL,Gloria Turner,1C4N3VZY4D0000441,000441,2011 Jeep Grand Cherokee,Jeep,Grand Cherokee,2011,,,
INDIVIDUAL,Carolyn Mitchell,1C4UP0T0X9000028A,00028A,2010 Jeep Grand Cherokee,Jeep,Grand Cherokee,2010,,,
INDIVIDUAL,Betty Crawford,1C62PC7MXP000067J,00067J,2021 Ram 1500,Ram,1500,2021,,,
INDIVIDUAL,Robert Castillo,1C68G9HL14000004Y,00004Y,2021 Ram 1500,Ram,1500,2021,,,
ORGANIZATION,LKN Propane,1C6PK40EDP000243M,001,2015 Ram 1500,Ram,1500,2015,,,
INDIVIDUAL,Deborah Barnes,1C6ST6116Z000035V,00035V,2022 Ram 1500,Ram,1500,2022,,,
ORGANIZATION,Meck Plumbing,1C6T0CPHS0000150S,001,2020 Ram 1500,Ram,1500,2020,,,
ORGANIZATION,Carolinas Crane,1FD58TYH6N000233Y,001,2021 Ford F-550 Flatbed,Ford,F-550 Flatbed,2021,,,
ORGANIZATION,Carolinas Crane,1FDCNNELNJ000231Z,002,2015 Ford F-550 Flatbed,Ford,F-550 Flatbed,2015,,,
ORGANIZATION,Carolina Power,1FDLY2H7840001781,001,2019 Ford F-750 Bucket,Ford,F-750 Bucket,2019,,,
ORGANIZATION,Blue Ridge Landscaping,1FDRV7SC2N0001299,001,2017 Ford F-550 Flatbed,Ford,F-550 Flatbed,2017,,,
ORGANIZATION,Meck Tree,1FDTZU7N6Y000314Z,001,2018 Ford F-750 Chipper,Ford,F-750 Chipper,2018,,,
ORGANIZATION,Carolina Power,1FDVP7MNF5000183T,002,2012 Ford F-750 Bucket,Ford,F-750 Bucket,2012,,,
INDIVIDUAL,Steven Gardner,1FM71L46KT000024Y,00024Y,2017 Ford Explorer,Ford,Explorer,2017,,,
INDIVIDUAL,Anthony Bryant,1FMBUWXPB9000022Y,00022Y,2009 Ford Explorer,Ford,Explorer,2009,,,
INDIVIDUAL,Derek Washington,1FMP87S5VW000007J,00007J,2017 Ford Explorer,Ford,Explorer,2017,,,
ORGANIZATION,Union Grading,1FT16B7K09000291W,001,2016 Ford F-350 Super Duty,Ford,F-350 Super Duty,2016,,,
ORGANIZATION,Tarheel Logistics,1FT2D18TW1000133H,001,2020 Ford F-150,Ford,F-150,2020,,,
ORGANIZATION,Rowan Road Services,1FT3E1B7EJ000255A,001,2015 Ford F-150,Ford,F-150,2015,,,
ORGANIZATION,LKN Propane,1FT3MDVPSH000235Y,002,2023 Ford F-250 Super Duty,Ford,F-250 Super Duty,2023,,,
ORGANIZATION,Meck Plumbing,1FT3X9MWL90001485,002,2015 Ford Transit 250,Ford,Transit 250,2015,,,
ORGANIZATION,Cabarrus Cleaning,1FT4FKNTUX000206T,001,2020 Ford Transit 250,Ford,Transit 250,2020,,,
ORGANIZATION,Tarheel Logistics,1FT4K0FURZ0001440,002,2012 Ford F-150,Ford,F-150,2012,,,
ORGANIZATION,Piedmont Freight,1FT6H2JHF30000856,001,2023 Ford F-150,Ford,F-150,2023,,,
ORGANIZATION,Blue Stone Aggregate,1FT7E20DDU0001942,001,2012 Ford F-350 Super Duty,Ford,F-350 Super Duty,2012,,,
